#MSD_STATION	#VIEW	#OFFSET_CORRECTION	#ROTATION_CORRECTION
    0	0	0	-0.00162874
    0	1	0	-0.0140095
    1	0	-0.0614894	-0.00140583
    1	1	0.00977707	-0.0321671
    2	0	0.0537208	-0.00430271
    2	1	0.0160808	-0.0433376
    3	0	0.0638257	0.00250502
    3	1	0.0175466	-0.0567426
    4	0	0.110335	-0.000332292
    4	1	0.0259351	-0.0688126
    5	0	0.187853	-0.0614894
    5	1	0.0533839	0.00977707
